// Header_Data
// PASS/FAIL, ICT_ID, SeriesNo, BoardName, BarCode, Date, Time, Result, Retest,WorkSchedule,OperID, DetailResult, MulBrdNum, MulBrdResult,RetryCnt,BeginDate,BeginTime,Version,BoardVersion,FixtureBarcode,PinOffset,LeftRight,Duration
PASS,1,3,500504,1031540040011006,20250719,124745,P,0,1,,PPPPPNNNNNNN,1,P,0,20250719,124741,0,,,0,0,4.94sec

// Component_Data
// StepNum, PartName, Act_V, Std_V, Offset, HLim, LLim, Mode, Type, HPin, LPin, Delay, GP1, GP2, GP3, Avge, Rpt, Msr_V, Dev, Result
 82, R109/NC,   -1.000  ,    1.000  , 0.000000,  10.0,  10.0, 2, R, 301, 306, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 83, R114/NC,   -1.000  ,    1.000  , 0.000000,  10.0,  10.0, 2, R, 358, 379, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 84, R130/NC,   -1.000  ,    1.000  , 0.000000,  10.0,  10.0, 2, R, 257, 356, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 85, R137/NC,   -1.000  ,    1.000  , 0.000000,  10.0,  10.0, 2, R, 360, 377, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 86, R138/NC,   -1.000  ,    1.000  , 0.000000,  10.0,  10.0, 2, R, 257, 360, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 87, R142/NC,   -1.000  ,    1.000  , 0.000000,  10.0,  10.0, 2, R, 0, 350, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 88, R154/NC,   -1.000  ,    1.000  , 0.000000,  10.0,  10.0, 2, R, 368, 369, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 89, R190/NC,   -1.000  ,    1.000  , 0.000000,  10.0,  10.0, 2, R, 352, 353, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 90, R218/NC,   -1.000  ,    1.000  , 0.000000,  10.0,  10.0, 2, R, 267, 345, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 91, R219/NC,   -1.000  ,    1.000  , 0.000000,  10.0,  10.0, 2, R, 267, 271, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 92, R227/NC,   -1.000  ,    1.000  , 0.000000,  10.0,  10.0, 2, R, 258, 368, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 93, R232/NC,   -1.000  ,    1.000  , 0.000000,  10.0,  10.0, 2, R, 258, 335, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 94, R242/NC,   -1.000  ,    1.000  , 0.000000,  10.0,  10.0, 2, R, 258, 320, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 95, R244/NC,   -1.000  ,    1.000  , 0.000000,  10.0,  10.0, 2, R, 320, 330, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 96, R256/NC,   -1.000  ,    1.000  , 0.000000,  10.0,  10.0, 2, R, 258, 286, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 97, R257/NC,   -1.000  ,    1.000  , 0.000000,  10.0,  10.0, 2, R, 285, 286, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 98, R258/NC,   -1.000  ,    1.000  , 0.000000,  10.0,  10.0, 2, R, 268, 281, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 99, R259/NC,   -1.000  ,    1.000  , 0.000000,  10.0,  10.0, 2, R, 281, 329, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 100, R262/NC,   -1.000  ,    1.000  , 0.000000,  10.0,  10.0, 2, R, 279, 287, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 101, R139/NP,    10.00  ,    10.00  , 0.000000,  10.0,  10.0, 2, R, 0, 350, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 102, R205,    10.00  ,    10.00  , 0.000000,  20.0,  10.0, 0, R, 267, 336, 0, 0, 0, 0, 1, 3, 11.0269496  , +10.3 %, 0
 103, R206,    10.00  ,    10.00  , 0.000000,  20.0,  10.0, 0, R, 267, 349, 0, 0, 0, 0, 1, 3, 10.9914597  , +9.9  %, 0
 104, R144,   100.00  ,   100.00  , 0.000000,  10.0,  10.0, 2, R, 371, 315, 0, 0, 0, 0, 1, 3, 99.4819544  , -0.5  %, 0
 105, R148,   100.00  ,   100.00  , 0.000000,  10.0,  10.0, 2, R, 371, 311, 0, 0, 0, 0, 1, 3, 100.7352927  , +0.7  %, 0
 106, R149,   100.00  ,   100.00  , 0.000000,  10.0,  10.0, 2, R, 371, 316, 0, 0, 0, 0, 1, 3, 99.9916165  , -0.0  %, 0
 107, R182/NP,   100.00  ,   100.00  , 0.000000,  10.0,  10.0, 2, R, 297, 0, 0, 0, 0, 0, 1, 3, 0.0000000  ,  0.0  %, 0
 108, R188,   100.00  ,   100.00  , 0.000000,  10.0,  10.0, 2, R, 371, 312, 0, 0, 0, 0, 1, 3, 100.8216285  , +0.8  %, 0
 109, R191,   100.00  ,   100.00  , 0.000000,  10.0,  10.0, 2, R, 297, 295, 0, 0, 0, 0, 1, 3, 100.7773204  , +0.8  %, 0
 110, R192,   100.00  ,   100.00  , 0.000000,  10.0,  10.0, 2, R, 297, 293, 0, 0, 0, 0, 1, 3, 100.7280686  , +0.7  %, 0
 111, R193/NP,   100.00  ,   100.00  , 0.000000,  10.0,  10.0, 2, R, 263, 0, 0, 0, 0, 0, 1, 3, 0.0000000  ,  0.0  %, 0
 112, R129,    4.000  ,    4.000  , 0.000000,  10.0,  10.0, 0, J, 377, 356, 0, 0, 0, 0, 0, 3, 4.0000000  ,  0.0  %, 0
 113, R203,    1.000K ,    1.000K , 0.000000,  10.0,  10.0, 2, R, 350, 323, 0, 0, 0, 0, 1, 3, 0.9904997K , -1.0  %, 0
 114, R209,    1.000K ,    1.000K , 0.000000,  10.0,  10.0, 2, R, 339, 338, 0, 0, 0, 0, 1, 3, 0.9495278K , -5.0  %, 0
 115, R211,    1.000K ,    1.000K , 0.000000,  10.0,  10.0, 2, R, 337, 334, 0, 0, 0, 0, 1, 3, 0.9513402K , -4.9  %, 0
 116, R231,    1.000K ,    1.000K , 0.000000,  10.0,  10.0, 2, R, 325, 323, 0, 0, 0, 0, 1, 3, 0.9905894K , -0.9  %, 0
 117, R222,    5.600K ,    5.600K , 0.000000,  10.0,  10.0, 2, R, 272, 258, 0, 0, 0, 0, 1, 3, 5.5705719K , -0.5  %, 0
 118, R223,    5.600K ,    5.600K , 0.000000,  10.0,  10.0, 2, R, 267, 273, 0, 275, 0, 0, 1, 3, 5.5732458K , -0.5  %, 0
 119, R141/R,   10.000K ,    9.230K , 0.000000,  10.0,  10.0, 2, R, 258, 289, 0, 319, 0, 0, 1, 3, 9.0988690K , -1.4  %, 0
 120, R248/R,   10.000K ,    5.000K , 0.000000,  10.0,  10.0, 2, R, 283, 266, 0, 0, 0, 0, 1, 3, 4.9713267K , -0.6  %, 0
 121, R249/R,   10.000K ,    5.000K , 0.000000,  10.0,  10.0, 2, R, 283, 266, 0, 0, 0, 0, 1, 3, 4.9717177K , -0.6  %, 0
 122, R264,    10.00K ,    10.00K , 0.000000,  10.0,  10.0, 2, R, 258, 331, 0, 275, 0, 0, 1, 3, 9.9222269K , -0.8  %, 0
 123, R265,    10.00K ,    10.00K , 0.000000,  10.0,  10.0, 2, R, 332, 274, 0, 0, 0, 0, 1, 3, 9.9290130K , -0.7  %, 0
 124, R124/T,    1.000  ,    1.000  , 0.000000,  10.0,  10.0, 1, J, 364, 362, 20, 0, 0, 0, 0, 3, 0.0000000  ,  0.0  %, 0
 125, R177,    22.00K ,    22.00K , 0.000000,  10.0,  10.0, 2, R, 294, 264, 0, 0, 0, 0, 1, 3, 21.9142191K , -0.4  %, 0
 126, R207,    22.00K ,    22.00K , 0.000000,  10.0,  10.0, 2, R, 331, 275, 0, 273, 0, 0, 1, 3, 21.8560129K , -0.7  %, 0
 127, R212,    22.00K ,    22.00K , 0.000000,  10.0,  10.0, 2, R, 278, 276, 0, 0, 0, 0, 1, 3, 21.7882116K , -1.0  %, 0
 128, R213,    22.00K ,    22.00K , 0.000000,  10.0,  10.0, 2, R, 258, 337, 0, 334, 0, 0, 1, 3, 20.5030794K , -6.8  %, 0
 129, R214,    22.00K ,    22.00K , 0.000000,  10.0,  10.0, 2, R, 258, 338, 0, 339, 0, 0, 1, 3, 20.7189940K , -5.8  %, 0
 130, R224,    22.00K ,    22.00K , 0.000000,  10.0,  10.0, 2, R, 275, 273, 0, 267, 0, 0, 1, 3, 21.8005428K , -0.9  %, 0
 131, R225,    22.00K ,    22.00K , 0.000000,  10.0,  10.0, 2, R, 333, 332, 0, 0, 0, 0, 1, 3, 21.5982055K , -1.8  %, 0
 132, R226,    22.00K ,    22.00K , 0.000000,  10.0,  10.0, 2, R, 333, 272, 0, 0, 0, 0, 1, 3, 21.8289773K , -0.8  %, 0
 133, R204,    47.00K ,    47.00K , 0.000000,  10.0,  10.0, 2, R, 330, 328, 0, 0, 0, 0, 1, 3, 46.2933415K , -1.5  %, 0
 134, R210,    47.00K ,    47.00K , 0.000000,  10.0,  10.0, 2, R, 340, 258, 0, 0, 0, 0, 1, 3, 46.5838593K , -0.9  %, 0
 135, R237,    47.00K ,    47.00K , 0.000000,  10.0,  10.0, 2, R, 319, 288, 0, 258, 0, 0, 1, 3, 46.6374995K , -0.8  %, 0
 136, R238,    47.00K ,    47.00K , 0.000000,  10.0,  10.0, 2, R, 330, 320, 0, 258, 0, 0, 1, 3, 46.7603496K , -0.5  %, 0
 137, R169/R,    56.00K ,    28.00K , 0.000000,  10.0,  10.0, 2, R, 270, 259, 0, 0, 0, 0, 1, 3, 27.7837088K , -0.8  %, 0
 138, R170/R,    56.00K ,    28.00K , 0.000000,  10.0,  10.0, 2, R, 270, 259, 0, 0, 0, 0, 1, 3, 27.8500102K , -0.5  %, 0
 139, R167/R,   100.00K ,    50.00K , 0.000000,  10.0,  10.0, 2, R, 371, 309, 0, 291, 0, 0, 1, 3, 51.1118671K , +2.2  %, 0
 140, R173/R,   100.00K ,    50.00K , 0.000000,  10.0,  10.0, 2, R, 291, 309, 0, 371, 0, 0, 1, 3, 49.6777351K , -0.6  %, 0
 141, R176/R,   100.00K ,    50.00K , 0.000000,  10.0,  10.0, 2, R, 310, 290, 0, 258, 0, 0, 1, 3, 49.6661413K , -0.7  %, 0
 142, R180/R,   100.00K ,    50.00K , 0.000000,  10.0,  10.0, 2, R, 258, 290, 0, 310, 0, 0, 1, 3, 49.6860651K , -0.6  %, 0
 143, R194/R,   100.00K ,    50.00K , 0.000000,  10.0,  10.0, 2, R, 261, 354, 0, 355, 0, 0, 1, 3, 49.0748576K , -1.9  %, 0
 144, R195/R,   100.00K ,    50.00K , 0.000000,  10.0,  10.0, 2, R, 355, 354, 0, 261, 0, 0, 1, 3, 50.1485935K , +0.3  %, 0
 145, R196/R,   100.00K ,    50.00K , 0.000000,  10.0,  10.0, 2, R, 310, 290, 0, 258, 0, 0, 1, 3, 49.6574102K , -0.7  %, 0
 146, R197/R,   100.00K ,    50.00K , 0.000000,  10.0,  10.0, 2, R, 258, 290, 0, 310, 0, 0, 1, 3, 49.6823132K , -0.6  %, 0
 147, R198/R,   100.00K ,    50.00K , 0.000000,  10.0,  10.0, 2, R, 371, 309, 0, 291, 0, 0, 1, 3, 49.9925930K , -0.0  %, 0
 148, R199/R,   100.00K ,    50.00K , 0.000000,  10.0,  10.0, 2, R, 291, 309, 0, 371, 0, 0, 1, 3, 49.6829429K , -0.6  %, 0
 149, R153/R,   100.00K ,    50.00K , 0.000000,  10.0,  10.0, 2, R, 261, 354, 0, 355, 0, 0, 1, 3, 49.3989177K , -1.2  %, 0
 150, R157/R,   100.00K ,    50.00K , 0.000000,  10.0,  10.0, 2, R, 355, 354, 0, 261, 0, 0, 1, 3, 49.9379645K , -0.1  %, 0
